,5,1,2,3,4,6,7,8,9
11,2022-05-10,10,宋元之际的“方氏合族”与方回的诗歌宗派观,郭庆财,安徽大学学报(哲学社会科学版),期刊,,31,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=10&recid=&FileName=ADZS202203006&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
12,2022-05-10,11,“小游仙”诗题在元明时期的传承与书写,程瑜瑶,安徽大学学报(哲学社会科学版),期刊,,51,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=11&recid=&FileName=ADZS202203007&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
13,2022-05-10,12,环境罚金刑修复性易科制度的理论证成与建构路径,唐绍均; 王嘉琪,安徽大学学报(哲学社会科学版),期刊,,115,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=12&recid=&FileName=ADZS202203008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
14,2022-05-10,13,环境犯罪认罪认罚从宽的适用困境及其破解,孙洪坤; 陈雅玲,安徽大学学报(哲学社会科学版),期刊,,192,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=13&recid=&FileName=ADZS202203009&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
15,2022-05-10,14,国家机关处理个人信息的特殊风险及其法律规制,孙清白,安徽大学学报(哲学社会科学版),期刊,,190,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=14&recid=&FileName=ADZS202203010&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
16,2022-05-10,15,被遗忘权作为新型权利之确证与实践展开,阮晨欣,安徽大学学报(哲学社会科学版),期刊,,281,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=15&recid=&FileName=ADZS202203011&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
17,2022-03-10,16,董事会存在最优规模吗?——基于大股东资金占用的证据,杜兴强; 张颖,安徽大学学报(哲学社会科学版),期刊,,520,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=16&recid=&FileName=ADZS202202010&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
18,2022-03-10,17,共有股东有利于稳定资本市场吗?——基于股价崩盘风险的视角,周冬华; 周思阳,安徽大学学报(哲学社会科学版),期刊,,668,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=17&recid=&FileName=ADZS202202011&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
19,2022-03-10,18,养老产业发展中金融政策工具的优化选用与配置方案,杨复卫; 温涛,安徽大学学报(哲学社会科学版),期刊,,431,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=18&recid=&FileName=ADZS202202015&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
20,2022-03-10,19,税收分权、资源错配与全要素生产率,李齐云; 周雪,安徽大学学报(哲学社会科学版),期刊,,853,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=19&recid=&FileName=ADZS202202012&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
21,2022-03-10,20,“一带一路”服务贸易网络的结构特征与影响因素,潘安; 刘红,安徽大学学报(哲学社会科学版),期刊,,1011,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=20&recid=&FileName=ADZS202202013&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
22,2022-03-10,21,人力资源管理实践和工会实践耦合对工作重塑的影响——基于认知—情感系统理论,胡恩华; 张文林,安徽大学学报(哲学社会科学版),期刊,,1212,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=21&recid=&FileName=ADZS202202014&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
23,2022-03-10,22,人工智能发展中的经济风险及制度应对,侯东德; 周莉欣,安徽大学学报(哲学社会科学版),期刊,,734,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=22&recid=&FileName=ADZS202202008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
24,2022-03-10,23,正义与自我利益相悖吗?——以《理想国》中哲人回归洞穴为典例,张波波,安徽大学学报(哲学社会科学版),期刊,,1512,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=23&recid=&FileName=ADZS202202001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
25,2022-03-10,24,情绪何以是一种变动?——从海德格尔对亚里士多德哲学概念π■θο■之阐释出发,张云翼,安徽大学学报(哲学社会科学版),期刊,,238,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=24&recid=&FileName=ADZS202202002&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
26,2022-03-10,25,工人运动的背叛者：大革命时期中国共产党对工贼的认识与斗争,刘海军,安徽大学学报(哲学社会科学版),期刊,,310,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=25&recid=&FileName=ADZS202202003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
27,2022-03-10,26,宋代皮场王原型“壁镜”研究,程立中; 朱正业,安徽大学学报(哲学社会科学版),期刊,,134,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=26&recid=&FileName=ADZS202202004&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
28,2022-03-10,27,乾隆朝制科、科举与乾嘉经史考据学的兴起,杨青华,安徽大学学报(哲学社会科学版),期刊,,269,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=27&recid=&FileName=ADZS202202005&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
29,2022-03-10,28,邓廷桢幕府与“后姚鼐时代”桐城派的传衍,张知强,安徽大学学报(哲学社会科学版),期刊,,180,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=28&recid=&FileName=ADZS202202006&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
30,2022-03-10,29,税收法定控权功能的反思及其替代,侯卓; 韩龙河,安徽大学学报(哲学社会科学版),期刊,,374,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=29&recid=&FileName=ADZS202202007&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
31,2022-03-10,30,论刑事审判中大数据证据的审查,卫晨曙,安徽大学学报(哲学社会科学版),期刊,1,790,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=30&recid=&FileName=ADZS202202009&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
32,2022-01-10,31,旅游体验质量对游客目的地忠诚的影响机制研究,吴文智; 唐培,安徽大学学报(哲学社会科学版),期刊,1,1623,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=31&recid=&FileName=ADZS202201016&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
33,2022-01-10,32,工作嵌入与工作绩效关系的元分析,姚山季; 郑新诺,安徽大学学报(哲学社会科学版),期刊,,965,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=32&recid=&FileName=ADZS202201015&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
34,2022-01-10,33,虹吸还是溢出?——“强省会”战略的经济增长极效应分析,吴传清; 孟晓倩,安徽大学学报(哲学社会科学版),期刊,1,1400,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=33&recid=&FileName=ADZS202201014&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
35,2022-01-10,34,马克思主义的历时价值理论：技术进步测度视角,魏峰,安徽大学学报(哲学社会科学版),期刊,1,228,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=34&recid=&FileName=ADZS202201013&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
36,2022-01-10,35,“肆言”与“肆权”:清末己亥“废立”流言的形成及影响,程丽红; 刘斌,安徽大学学报(哲学社会科学版),期刊,,250,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=35&recid=&FileName=ADZS202201007&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
37,2022-01-10,36,重构职业共同体：南京国民政府初期的上海新闻记者联合会,赵建国,安徽大学学报(哲学社会科学版),期刊,,270,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=36&recid=&FileName=ADZS202201008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
38,2022-01-10,37,政府、媒体与公众的风险互动:公共卫生事件舆论引导模型,杨小雨; 曾庆香,安徽大学学报(哲学社会科学版),期刊,1,1112,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=37&recid=&FileName=ADZS202201009&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
39,2022-01-10,38,从东南邹鲁、程朱阙里到新安理学:宋元明清时期徽州地域文化认同的建构,卞利; 马德璟,安徽大学学报(哲学社会科学版),期刊,,796,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=38&recid=&FileName=ADZS202201001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
40,2022-01-10,39,论王阳明悟道的三重体证——兼辨“神秘主义”论,刘青衢,安徽大学学报(哲学社会科学版),期刊,,502,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=39&recid=&FileName=ADZS202201002&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
41,2022-01-10,40,给予者，抑或受予者?——论马里翁对自我的激进化理解,朱刚,安徽大学学报(哲学社会科学版),期刊,,407,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=40&recid=&FileName=ADZS202201003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
42,2022-01-10,41,论跨文化研究的殖民无意识,顾明栋,安徽大学学报(哲学社会科学版),期刊,,402,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=41&recid=&FileName=ADZS202201004&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
43,2022-01-10,42,诗律自由平衡说,孙立尧,安徽大学学报(哲学社会科学版),期刊,,214,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=42&recid=&FileName=ADZS202201005&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
44,2022-01-10,43,语言演变中的语素化与去语素化——基于称呼语“亲”演变过程的考察,张宏国,安徽大学学报(哲学社会科学版),期刊,,540,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=43&recid=&FileName=ADZS202201006&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
45,2022-01-10,44,侵犯公民个人信息罪刑法适用的调整和重构,刘宪权; 王哲,安徽大学学报(哲学社会科学版),期刊,,1915,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=44&recid=&FileName=ADZS202201010&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
46,2022-01-10,45,网络服务提供者权力异化及法律规制,张锐智; 李柏萱,安徽大学学报(哲学社会科学版),期刊,2,464,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=45&recid=&FileName=ADZS202201011&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
47,2022-01-10,46,破解强制—任意二分困局:公司法规则约束力分层体系确立论——兼评《公司法(修订草案)》,周雪梅; 朱庆,安徽大学学报(哲学社会科学版),期刊,,1106,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=46&recid=&FileName=ADZS202201012&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
48,2021-11-10,47,货币政策、交通通达性与区域房价分化,徐亚平; 姜燕,安徽大学学报(哲学社会科学版),期刊,,466,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=47&recid=&FileName=ADZS202106016&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
49,2021-11-10,48,财务总监与董秘兼任能提高上市公司会计稳健性吗?,路军伟; 王甜甜,安徽大学学报(哲学社会科学版),期刊,3,603,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=48&recid=&FileName=ADZS202106017&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
50,2021-11-10,49,清代徽商在江西鄱阳县石门镇的活动,王振忠,安徽大学学报(哲学社会科学版),期刊,,134,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=49&recid=&FileName=ADZS202106001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
51,2021-11-10,50,“州县给帖”与“乞帖为照”:论明代帖文的双重属性——以徽州文书与石刻史料为中心,刘伟杰,安徽大学学报(哲学社会科学版),期刊,,109,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=50&recid=&FileName=ADZS202106002&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
52,2021-11-10,51,楚简“凿”字小考,程燕; 滕胜霖,安徽大学学报(哲学社会科学版),期刊,,200,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=51&recid=&FileName=ADZS202106008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
53,2021-11-10,52,释金文中的“■择”,王磊,安徽大学学报(哲学社会科学版),期刊,,148,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=52&recid=&FileName=ADZS202106009&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
54,2021-11-10,53,农民工返乡创业扶持政策绩效评价与政策取向——基于全国返乡创业企业的调查数据,方鸣; 张婷婷; 刘美玲,安徽大学学报(哲学社会科学版),期刊,1,705,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=53&recid=&FileName=ADZS202106015&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
55,2021-11-10,54,技能溢价如何通过技能偏向型技术进步影响要素收入分配?,吴鹏; 常远,安徽大学学报(哲学社会科学版),期刊,,478,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=54&recid=&FileName=ADZS202106014&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
56,2021-11-10,55,从人类增强到机器向人化——对脑机接口技术两种进路的哲学审思,赵豆,安徽大学学报(哲学社会科学版),期刊,1,409,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=55&recid=&FileName=ADZS202106004&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
57,2021-11-10,56,想象力与形而上学的再建基——一项以亲在的生存活动为核心的考察,马迎辉,安徽大学学报(哲学社会科学版),期刊,,144,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=56&recid=&FileName=ADZS202106003&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
58,2021-11-10,57,《随园集外诗》伪书说新证——兼谈文献辨伪的思路和方法问题,耿传友,安徽大学学报(哲学社会科学版),期刊,,105,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=57&recid=&FileName=ADZS202106005&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
59,2021-11-10,58,嘉定文人与明清之际文章学的演进,张何斌,安徽大学学报(哲学社会科学版),期刊,,174,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=58&recid=&FileName=ADZS202106006&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
60,2021-11-10,59,赵次公注与杜诗经典性——以“阐释后人学杜”现象为中心,刘欢,安徽大学学报(哲学社会科学版),期刊,,109,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=59&recid=&FileName=ADZS202106007&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
61,2021-11-10,60,论朱子学视域下元儒许衡的孟子研究,周春健,安徽大学学报(哲学社会科学版),期刊,,134,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=60&recid=&FileName=ADZS202106010&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
62,2021-11-10,61,我国限制自认的实践难题及其成因与出路,刘学在; 赵贝贝,安徽大学学报(哲学社会科学版),期刊,1,578,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=61&recid=&FileName=ADZS202106011&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
63,2021-11-10,62,论刑事审判对监察机关职务犯罪调查的制约,魏小伟,安徽大学学报(哲学社会科学版),期刊,,405,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=62&recid=&FileName=ADZS202106012&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
64,2021-11-10,63,“高空抛物”入刑的法教义学反思,吴帅帅; 刘艳红,安徽大学学报(哲学社会科学版),期刊,,952,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=63&recid=&FileName=ADZS202106013&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=
65,2021-09-10,64,事务所规模与关键审计事项披露,陈丽红; 李明艳,安徽大学学报(哲学社会科学版),期刊,6,1148,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=64&recid=&FileName=ADZS202105015&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
66,2021-09-10,65,动态博弈与我国系统重要性金融机构动态监管机制的构建——兼评《关于完善系统重要性金融机构监管的指导意见》相关规定,常健; 王清粤,安徽大学学报(哲学社会科学版),期刊,,373,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=65&recid=&FileName=ADZS202105013&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
67,2021-09-10,66,生态位视角下平台生态系统的动态治理研究——抖音和快手的比较案例分析,吴义爽; 朱学才,安徽大学学报(哲学社会科学版),期刊,3,1295,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=66&recid=&FileName=ADZS202105016&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
68,2021-09-10,67,“水程”与“议约”:清代汉口房地产卖契的书立——以徽商文书为中心的探讨,范金民,安徽大学学报(哲学社会科学版),期刊,1,222,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=67&recid=&FileName=ADZS202105001&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
69,2021-09-10,68,“在地化”与“日常性”:制度和生活视域下中国共产党早期新闻史新探索,张朋,安徽大学学报(哲学社会科学版),期刊,1,470,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=68&recid=&FileName=ADZS202105003&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
70,2021-09-10,69,徽州宗族与香火院——基于祁门盘溪吴氏和永禧寺的考察,郑小春,安徽大学学报(哲学社会科学版),期刊,,199,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=69&recid=&FileName=ADZS202105002&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
71,2021-09-10,70,《周易》卦爻辞中的君子小人之辨,廖海华,安徽大学学报(哲学社会科学版),期刊,,433,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=70&recid=&FileName=ADZS202105004&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
72,2021-09-10,71,论孔、孟德位观的异同：以亲亲与尊贤的张力为中心,张亦辰,安徽大学学报(哲学社会科学版),期刊,,249,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=71&recid=&FileName=ADZS202105005&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
73,2021-09-10,72,《庄子》的语言自觉与其神秘论道之理解,林凯,安徽大学学报(哲学社会科学版),期刊,,245,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=72&recid=&FileName=ADZS202105006&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
74,2021-09-10,73,缺席与在场之间：周氏兄弟介入《新青年》考论,王海晗,安徽大学学报(哲学社会科学版),期刊,1,281,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=73&recid=&FileName=ADZS202105007&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
75,2021-09-10,74,城市精神与文学精神：历史、审美、阶级与观念剩余物,杨毅,安徽大学学报(哲学社会科学版),期刊,,323,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=74&recid=&FileName=ADZS202105008&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
76,2021-09-10,75,新世纪乡土中短篇小说创作研究(2010—2020),刘文祥,安徽大学学报(哲学社会科学版),期刊,,378,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=75&recid=&FileName=ADZS202105009&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
77,2021-09-10,76,“风格”批评的流衍与中国词学的现代转型,孙启洲,安徽大学学报(哲学社会科学版),期刊,,159,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=76&recid=&FileName=ADZS202105010&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
78,2021-09-10,77,法教义学视角下刑事合规之适用研究,徐久生; 师晓东,安徽大学学报(哲学社会科学版),期刊,1,1066,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=77&recid=&FileName=ADZS202105011&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
79,2021-09-10,78,财产性利益视角下盗窃罪和诈骗罪的重释,郝艳兵,安徽大学学报(哲学社会科学版),期刊,,899,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=78&recid=&FileName=ADZS202105012&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
80,2021-09-10,79,经济法视域下PPP模式中社会公共利益保护的政府职责,王超,安徽大学学报(哲学社会科学版),期刊,1,498,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=79&recid=&FileName=ADZS202105014&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
81,2021-07-10,80,群体断层对于群体组织公民行为的影响——边界跨越作为中介变量,彭小宝; 张序铭,安徽大学学报(哲学社会科学版),期刊,,459,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=80&recid=&FileName=ADZS202104016&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
82,2021-07-10,81,董事网络与制造业企业高质量发展——基于金融发展门槛效应的实证分析,吴成颂; 程茹枫,安徽大学学报(哲学社会科学版),期刊,6,1047,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=81&recid=&FileName=ADZS202104018&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
83,2021-07-10,82,新型城镇化、土地财政与公共物品供给——基于安徽省县域面板数据的分析,贺文慧; 吴飞,安徽大学学报(哲学社会科学版),期刊,1,1164,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=82&recid=&FileName=ADZS202104017&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
84,2021-07-10,83,塑造名山：徽州社会与乌聊山的开发和形塑,孟义昭,安徽大学学报(哲学社会科学版),期刊,,205,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=83&recid=&FileName=ADZS202104001&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
85,2021-07-10,84,中国古典文明政教结构的“原型”——《论语》四科章疏解,赖区平,安徽大学学报(哲学社会科学版),期刊,,231,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=84&recid=&FileName=ADZS202104002&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
86,2021-07-10,85,从“畏”到“无聊”——从情调的角度理解海德格尔对生存论视角的修正与补充,张晋一,安徽大学学报(哲学社会科学版),期刊,1,363,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=85&recid=&FileName=ADZS202104003&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=
