,5,1.0,2,3,4,6,7.0,8.0,9,,,,
11.0,2022-01-15,10.0,抗战胜利后国民政府对从军知识青年复员就学的应对,黄伟,安徽史学,期刊,,168.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=10&recid=&FileName=AFSX202201009&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 黄伟,抗战胜利后; 国民政府; 从军知识青年; 复员就学;,哲学与人文科学; 社会科学Ⅰ辑,中国政治与国际政治; 中国近现代史
12.0,2022-01-15,11.0,侵华战争时期日本民间智库的活动与影响——以昭和研究会为核心的考察,史桂芳,安徽史学,期刊,,182.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=11&recid=&FileName=AFSX202201010&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 史桂芳,近卫文麿; 昭和研究会; 东亚新秩序; 大政翼赞会;,哲学与人文科学; 社会科学Ⅰ辑,世界历史; 中国政治与国际政治
13.0,2022-01-15,12.0,从博弈基地到角逐石油——美国对利比亚伊德里斯王朝的援助外交及其影响(1951—1972),韩志斌; 谢宇科,安徽史学,期刊,,138.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=12&recid=&FileName=AFSX202201012&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 韩志斌 谢宇科,美国; 利比亚; 伊德里斯王朝; 惠勒斯基地; 援助外交;,哲学与人文科学; 社会科学Ⅰ辑,世界历史; 中国政治与国际政治
14.0,2022-01-15,13.0,全面抗战前红军改编谈判中的国共较量,张文俊,安徽史学,期刊,,269.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=13&recid=&FileName=AFSX202201008&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 张文俊,中共; 周恩来; 红军; 蒋介石; 顾祝同;,哲学与人文科学; 社会科学Ⅰ辑,中国共产党
15.0,2022-01-15,14.0,组织与动员：华中抗日根据地群众团体研究,汪效驷,安徽史学,期刊,,369.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=14&recid=&FileName=AFSX202201017&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 汪效驷,华中抗日根据地; 群众路线; 群众团体; 民众动员;,哲学与人文科学; 社会科学Ⅰ辑,中国近现代史; 中国共产党
16.0,2022-01-15,15.0,辛亥革命后十年间的武汉社会,严昌洪,安徽史学,期刊,,569.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=15&recid=&FileName=AFSX202201001&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 严昌洪,辛亥革命; 武汉社会; 中共“一大”; “湖北现象”;,哲学与人文科学,中国近现代史
17.0,2022-01-15,16.0,江苏反清革命与民主共和思想的源头及其发展,经盛鸿,安徽史学,期刊,,177.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=16&recid=&FileName=AFSX202201002&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 经盛鸿,江苏地区; 留日学生; 反清革命; 民主共和思想; 同盟会;,哲学与人文科学,中国近现代史
18.0,2022-01-15,17.0,陈用光与清国史馆《文苑传》中桐城派谱系考,温馨,安徽史学,期刊,,104.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=17&recid=&FileName=AFSX202201015&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 温馨,《文苑传》; 清代国史; 桐城派; 姚鼐; 陈用光;,哲学与人文科学,中国文学; 中国古代史
19.0,2022-01-15,18.0,朱焕柳摄影作品,朱焕柳,安徽史学,期刊,,21.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=18&recid=&FileName=AFSX202201019&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 朱焕柳,None,哲学与人文科学,美术书法雕塑与摄影
20.0,2022-01-15,19.0,论《续文苑底稿》对桐城派史的续写,戚学民; 唐铭鸿,安徽史学,期刊,,101.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=19&recid=&FileName=AFSX202201014&DbName=CJFDLAST2022&DbCode=CJFD&yx=&pr=&URLID=, 戚学民 唐铭鸿,续文苑底稿; 缪荃孙; 桐城派; 古文; 经世学;,哲学与人文科学,中国文学
21.0,2021-11-15,20.0,“黄侵运逼”视野中的淮河变迁,胡阿祥; 胡箫南,安徽史学,期刊,,391.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=20&recid=&FileName=AFSX202106014&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 胡阿祥1 胡箫南2,淮河变迁; 黄河夺淮; 京杭大运河; 黄淮运关系; 政治与民生;,哲学与人文科学; 经济与管理科学,地理; 旅游
22.0,2021-11-15,21.0,学以成商：明清徽商学徒的贸易知识与生意学习,戴昇,安徽史学,期刊,,262.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=21&recid=&FileName=AFSX202106013&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 戴昇,徽商; 商业学徒; 贸易知识; 学习经商;,哲学与人文科学; 经济与管理科学,中国古代史; 企业经济
23.0,2021-11-15,22.0,从紧张到融合:改革开放初期海南农村土地纠纷的化解,赵胜,安徽史学,期刊,,125.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=22&recid=&FileName=AFSX202106019&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 赵胜,改革开放初期; 海南; 习仲勋; 土地纠纷;,哲学与人文科学; 经济与管理科学,农业经济; 中国近现代史
24.0,2021-11-15,23.0,新中国成立初期对上海外资房地产企业的监管与清理,宋佩玉,安徽史学,期刊,,151.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=23&recid=&FileName=AFSX202106017&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 宋佩玉,新中国成立初期; 上海; 外资房地产企业; 监管; 清理;,哲学与人文科学; 经济与管理科学,宏观经济管理与可持续发展; 中国近现代史; 经济体制改革
25.0,2021-11-15,24.0,新中国前30年减贫的历史性贡献及经验启示,王辰璇; 汪青松,安徽史学,期刊,,290.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=24&recid=&FileName=AFSX202106018&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 王辰璇1 汪青松2,新中国; 制度变革式减贫; 生产发展式减贫; 全面建设式减贫; 经验启示;,哲学与人文科学; 经济与管理科学,中国近现代史; 经济体制改革
26.0,2021-11-15,25.0,科举与民治,杨国强,安徽史学,期刊,,274.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=25&recid=&FileName=AFSX202106001&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 杨国强,科举; 民治; 民意; 政府开放; 社会流动;,哲学与人文科学; 社会科学Ⅰ辑,中国政治与国际政治
27.0,2021-11-15,26.0,蔡京与北宋后期的役法变革——从对邵伯温相关记载的考辨谈起,张呈忠,安徽史学,期刊,,187.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=26&recid=&FileName=AFSX202106002&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 张呈忠,蔡京; 邵伯温; 役法变革;,哲学与人文科学; 社会科学Ⅰ辑,中国政治与国际政治; 中国古代史
28.0,2021-11-15,27.0,清代一个山西商镇的民间灾赈史——以灵石县静升村为例,白豆; 郝平,安徽史学,期刊,,236.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=27&recid=&FileName=AFSX202106003&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 白豆1 郝平2,清代; 静升村; 王氏宗族; 民间赈济;,哲学与人文科学; 社会科学Ⅰ辑,中国政治与国际政治; 中国古代史
29.0,2021-11-15,28.0,中法越南交涉时期中国的“瓯脱”筹议,易锐,安徽史学,期刊,,152.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=28&recid=&FileName=AFSX202106006&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 易锐,瓯脱; 中法越南交涉; 疆土观念; 《中法新约》;,哲学与人文科学; 社会科学Ⅰ辑,世界历史; 中国政治与国际政治
30.0,2021-11-15,29.0,租界、治外法权与1930年代中国左翼文化运动的国际性——以《中国论坛》与“伊罗生事件”为中心,谢力哲,安徽史学,期刊,,168.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=29&recid=&FileName=AFSX202106007&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 谢力哲,租界; 治外法权; 左翼文化运动; 《中国论坛》; 伊罗生;,哲学与人文科学; 社会科学Ⅰ辑,中国近现代史; 中国通史; 中国政治与国际政治
31.0,2021-11-15,30.0,九一八事变后冯玉祥反对依赖国联之政治主张探析,吴元康,安徽史学,期刊,,181.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=30&recid=&FileName=AFSX202106008&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 吴元康,冯玉祥; 蒋介石; 国际联盟; 外交;,哲学与人文科学; 社会科学Ⅰ辑,中国近现代史; 中国政治与国际政治
32.0,2021-11-15,31.0,民国时期国共两党治淮之差异与舆论交锋,王仓仓; 沈世培,安徽史学,期刊,,254.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=31&recid=&FileName=AFSX202106015&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 王仓仓 沈世培,社会形象; 民国时期; 淮河水灾; 国民党; 中国共产党; 治淮; 舆论;,哲学与人文科学; 社会科学Ⅰ辑,中国政治与国际政治; 中国近现代史; 中国共产党
33.0,2021-11-15,32.0,全面抗战时期民主力量的聚合——以青年党、第三党为中心的考察,曾辉,安徽史学,期刊,,179.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=32&recid=&FileName=AFSX202106009&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 曾辉,青年党; 第三党; 抗日战争; 民主政治; 聚合;,哲学与人文科学; 社会科学Ⅰ辑,中国近现代史; 中国共产党
34.0,2021-11-15,33.0,晚清劝善思想中儒家与宗教关系的新转向——以江南善士余治为中心的考察,王璐,安徽史学,期刊,1.0,192.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=33&recid=&FileName=AFSX202106004&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 王璐,余治; 劝善思想; 儒学; 宗教;,哲学与人文科学,宗教; 中国近现代史; 哲学
35.0,2021-11-15,34.0,在朝或居乡：元末明初师儒汪叡的出处选择,章毅,安徽史学,期刊,,102.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=34&recid=&FileName=AFSX202106012&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 章毅,师儒; 汪叡; 出处; 徽州;,哲学与人文科学,人物传记; 中国古代史
36.0,2021-11-15,35.0,晚清双语词典(汉英、英汉)出版的繁盛及海内外流布,元青; 孙健,安徽史学,期刊,,184.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=35&recid=&FileName=AFSX202106005&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 元青 孙健,晚清; 双语词典; 出版; 传播; 收藏;,哲学与人文科学,中国近现代史; 外国语言文字
37.0,2021-11-15,36.0,1954年江淮水灾区的疫情防控及其对建立农村合作医疗制度的影响,石武英,安徽史学,期刊,,169.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=36&recid=&FileName=AFSX202106016&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 石武英,1954年; 江淮水灾区; 疫情防控; 农村合作医疗制度;,哲学与人文科学; 医药卫生科技,中国近现代史; 医药卫生方针政策与法律法规研究; 预防医学与卫生学
38.0,2021-11-15,37.0,近现代法国学界对高卢祖先说的构建,曾晓阳,安徽史学,期刊,,134.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=37&recid=&FileName=AFSX202106010&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 曾晓阳,高卢祖先说; 法兰克征服者说; 政治民族; 法兰西民族政治共同体;,哲学与人文科学,世界历史
39.0,2021-11-15,38.0,威廉·雷迪如何解读情感的历史变化及其意义,孙一萍,安徽史学,期刊,,297.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=38&recid=&FileName=AFSX202106011&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 孙一萍,威廉·雷迪; 情感表达; 情感史; 法国大革命;,哲学与人文科学,世界历史
40.0,2021-11-15,39.0,吴坎民居,朱焕柳,安徽史学,期刊,,19.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=39&recid=&FileName=AFSX202106020&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 朱焕柳,None,哲学与人文科学,美术书法雕塑与摄影
41.0,2021-11-15,40.0,皖南人家,朱焕柳,安徽史学,期刊,,13.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=40&recid=&FileName=AFSX202106021&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 朱焕柳,None,哲学与人文科学,美术书法雕塑与摄影
42.0,2021-11-15,41.0,新安江畔,朱焕柳,安徽史学,期刊,,12.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=41&recid=&FileName=AFSX202106022&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 朱焕柳,None,哲学与人文科学,美术书法雕塑与摄影
43.0,2021-09-15,42.0,盐务改革背景下的1930年代蚌埠“北盐公共营业处”案,李发根; 杨金客,安徽史学,期刊,,214.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=42&recid=&FileName=AFSX202105017&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 李发根1 杨金客2,中央财政收入; 淮北盐; 蚌埠; 盐行; 北盐公共营业处;,哲学与人文科学; 经济与管理科学,中国近现代史; 财政与税收; 工业经济
44.0,2021-09-15,43.0,“南巢”故地在肥西新论：“桀奔南巢”的双重证明,张萍,安徽史学,期刊,,122.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=43&recid=&FileName=AFSX202105015&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 张萍,巢; 南巢; 二里头文化; 青铜器;,哲学与人文科学; 经济与管理科学,中国古代史; 考古; 旅游
45.0,2021-09-15,44.0,抗战初期报刊界对中华民族复兴思想的“公共话语”建构——以《新中华》杂志为中心,王玉玲; 马克锋,安徽史学,期刊,,323.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=44&recid=&FileName=AFSX202105012&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 王玉玲1 马克锋2,《新中华》; 民族复兴; 公共话语; 思想内涵; 实现路径;,哲学与人文科学; 信息科技,中国近现代史; 出版
46.0,2021-09-15,45.0,赴日观操与清末军事改革——以日本陆军特别大演习为线索,陶祺谌,安徽史学,期刊,,131.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=45&recid=&FileName=AFSX202105007&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 陶祺谌,清政府; 军事改革; 特别大演习; 现代军事制度; 中日关系;,哲学与人文科学; 社会科学Ⅰ辑,军事
47.0,2021-09-15,46.0,国民革命后期国民党党员志愿兵考论,巴杰,安徽史学,期刊,,109.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=46&recid=&FileName=AFSX202105010&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 巴杰,国民革命后期; 党人武装; 党员志愿兵; 中国国民党;,哲学与人文科学; 社会科学Ⅰ辑,军事; 中国近现代史; 政党及群众组织
48.0,2021-09-15,47.0,何去何从：山西潞城县后期土改整党试点研究,邓宏琴; 马维强,安徽史学,期刊,,156.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=47&recid=&FileName=AFSX202105013&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 邓宏琴1 马维强2,潞城县; 土改整党; 试点; 反“左”纠偏; 建党建政;,哲学与人文科学; 社会科学Ⅰ辑,中国共产党
49.0,2021-09-15,48.0,梁启超“《老子》作于战国之末”说的建立及其意义,李长银,安徽史学,期刊,,126.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=48&recid=&FileName=AFSX202105008&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 李长银,梁启超; 《老子》; 诸子学; 传统学术转型;,哲学与人文科学,哲学
50.0,2021-09-15,49.0,咸同兵燹冲击下的宗族生活及其重建——以绩溪南关许氏宗族为中心,郑小春,安徽史学,期刊,,189.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=49&recid=&FileName=AFSX202105005&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 郑小春,咸同兵燹; 许氏宗族; 生活; 重建;,哲学与人文科学,人物传记
51.0,2021-09-15,50.0,中国少数民族原始形态家谱调研报告,王鹤鸣,安徽史学,期刊,,208.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=50&recid=&FileName=AFSX202105018&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 王鹤鸣,少数民族; 口传家谱; 实物家谱; 单页家谱; 石碑家谱;,哲学与人文科学,人物传记
52.0,2021-09-15,51.0,绅士无以救时：咸丰六年清廷推行团练“任官督率”的背景与意蕴,崔岷,安徽史学,期刊,,195.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=51&recid=&FileName=AFSX202105004&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 崔岷,在籍绅士; 团练; 太平天国; 官绅关系; 社会动员;,哲学与人文科学,中国近现代史
53.0,2021-09-15,52.0,北伐时期奉张与宁蒋议和再研究,张志建,安徽史学,期刊,,152.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=52&recid=&FileName=AFSX202105009&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 张志建,北伐; 奉系; 蒋介石; 议和;,哲学与人文科学,中国近现代史
54.0,2021-09-15,53.0,从美英报刊视角看中国抗战——以《时与潮》时论译文为中心的考察(1937—1939),郭奇林,安徽史学,期刊,,171.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=53&recid=&FileName=AFSX202105011&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 郭奇林,抗日战争; 美英舆论; 《时与潮》; 观察;,哲学与人文科学,中国近现代史
55.0,2021-09-15,54.0,新中国成立初期“爱国卫生运动”概念的形成及启示——以《人民日报》为中心的考察,张亮; 马晓艳,安徽史学,期刊,2.0,818.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=54&recid=&FileName=AFSX202105019&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 张亮 马晓艳,卫生防疫; 爱国卫生运动; 《人民日报》;,哲学与人文科学; 医药卫生科技,中国近现代史; 医药卫生方针政策与法律法规研究
56.0,2021-09-15,55.0,明代士大夫快乐精神的内在转向,陈宝良; 张睿霖,安徽史学,期刊,,411.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=55&recid=&FileName=AFSX202105001&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 陈宝良1 张睿霖2,明代; 士大夫; “孔颜之乐”; 快乐精神;,哲学与人文科学,中国古代史
57.0,2021-09-15,56.0,明朝立国前后的军中舍人与演武余丁,张金奎,安徽史学,期刊,,143.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=56&recid=&FileName=AFSX202105002&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 张金奎,舍人; 演武余丁; 明朝;,哲学与人文科学,中国古代史
58.0,2021-09-15,57.0,清朝对国初礼俗的隐匿与文饰——以会典为中心,吴恩荣,安徽史学,期刊,1.0,180.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=57&recid=&FileName=AFSX202105003&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 吴恩荣,清代; 礼制; 满洲; 礼俗; 三跪九叩礼;,哲学与人文科学,中国古代史
59.0,2021-09-15,58.0,高丽文献中的蒙、丽“兄弟之盟”——事实、认同与话语,张春海,安徽史学,期刊,,115.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=58&recid=&FileName=AFSX202105014&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 张春海,高丽; 元朝; 约和; 投拜;,哲学与人文科学,世界历史; 中国古代史
60.0,2021-09-15,59.0,■壶、豺方与江淮的开发,黄锦前,安徽史学,期刊,,134.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=59&recid=&FileName=AFSX202105016&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 黄锦前,豺方; 虎方; 南淮夷; 南土开发; 时空背景;,哲学与人文科学,中国通史
61.0,2021-09-15,60.0,甲午战争以前日本的对华协调政策——以1876—1894年的朝鲜问题为例,刘峰,安徽史学,期刊,,330.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=60&recid=&FileName=AFSX202105006&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 刘峰,日本; 对华政策; 清政府; 李鸿章; 朝鲜;,哲学与人文科学,世界历史
62.0,2021-09-15,61.0,玉带桥,朱焕柳,安徽史学,期刊,,24.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=61&recid=&FileName=AFSX202105020&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 朱焕柳,None,哲学与人文科学,美术书法雕塑与摄影
63.0,2021-09-15,62.0,包河公园,朱焕柳,安徽史学,期刊,,12.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=62&recid=&FileName=AFSX202105021&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 朱焕柳,None,哲学与人文科学,美术书法雕塑与摄影
64.0,2021-07-15,63.0,岩寺新四军军部旧址纪念馆,朱焕柳,安徽史学,期刊,,98.0,https://kns.cnki.net/kns8/Detail?sfield=fn&QueryID=1&CurRec=63&recid=&FileName=AFSX202104022&DbName=CJFDLAST2021&DbCode=CJFD&yx=&pr=&URLID=, 朱焕柳,None,哲学与人文科学; 信息科技; 经济与管理科学,档案及博物馆; 旅游
